State,County,max_aqi,p90_aqi,median_aqi,mean_days_unhealthy,mean_days_sensitive,risk_label
Minnesota,Wright,193,87,41.666666666666664,0.8333333333333334,4.333333333333333,High Risk
Missouri,Saint Charles,147,87,42.333333333333336,0.0,5.166666666666667,High Risk
New Mexico,San Juan,220,87,46.5,0.16666666666666666,6.333333333333333,High Risk
Oklahoma,Carter,160,87,43.166666666666664,0.3333333333333333,5.5,High Risk
Oklahoma,McClain,143,87,44.4,0.0,5.2,High Risk
Oklahoma,Ottawa,305,87,52.0,1.5,4.833333333333333,High Risk
Texas,Bexar,309,87,53.666666666666664,0.6666666666666666,11.333333333333334,High Risk
Texas,Hidalgo,157,87,49.5,1.1666666666666667,5.166666666666667,High Risk
Utah,Utah,151,87,48.333333333333336,0.16666666666666666,6.166666666666667,High Risk
Wisconsin,Door,159,87,38.166666666666664,0.16666666666666666,3.6666666666666665,High Risk
Wisconsin,Kenosha,206,87,43.833333333333336,1.0,10.166666666666666,High Risk
Wisconsin,Kewaunee,182,87,39.333333333333336,0.5,2.0,High Risk
California,Yolo,209,86,44.0,2.5,3.8333333333333335,High Risk
Texas,Montgomery,166,86,50.833333333333336,0.3333333333333333,8.666666666666666,High Risk
Oregon,Harney,357,85,41.0,4.5,2.6666666666666665,High Risk
Pennsylvania,Lancaster,321,85,53.333333333333336,1.0,5.166666666666667,High Risk
Missouri,St. Louis City,738,84,54.5,0.8333333333333334,6.333333333333333,High Risk
Pennsylvania,Philadelphia,331,84,52.166666666666664,0.8333333333333334,7.0,High Risk
Oregon,Josephine,872,83,35.666666666666664,6.666666666666667,6.833333333333333,High Risk
Washington,Asotin,328,83,43.0,2.5,4.333333333333333,High Risk
Wyoming,Sweetwater,1334,83,45.333333333333336,1.0,6.5,High Risk
New Mexico,Luna,806,82,17.833333333333332,1.8333333333333333,3.5,High Risk
Arizona,Cochise,328,80,45.333333333333336,0.3333333333333333,3.5,High Risk
California,Mendocino,716,79,47.2,2.4,4.6,High Risk
Montana,Lincoln,403,79,50.666666666666664,2.3333333333333335,3.5,High Risk
Oregon,Deschutes,1099,78,26.666666666666668,4.666666666666667,6.333333333333333,High Risk
Washington,Snohomish,362,78,38.5,1.6666666666666667,3.5,High Risk
Idaho,Bannock,557,77,38.833333333333336,0.8333333333333334,2.6666666666666665,High Risk
Idaho,Nez Perce,475,77,31.666666666666668,1.3333333333333333,5.0,High Risk
